symbol,timestamp,spot_price,hawkes_score,kalman_velocity,particle_mean,regime_state,ensemble_prediction,meta_learning_weight,fusion_mean,p_up,p_down,expected_return,kelly_fraction,signal,signal_confidence,actual_return,correct,institutional_forecast,institutional_confidence,positioning_strength,bullish_score,bearish_score,neutral_score,pcr_val,gamma_pressure,dealer_pressure,rsi,adx,atr,volume_ratio,pcr,meta_learning_prediction
NIFTY,2026-07-24T08:47:00,23798.55,1.00000000761499,-4.098554027070414,23798.40693296392,TRENDING_BULL,-0.0089095653966069,0.25,-4.101810705065339e-05,0.268943962145697,0.2689650324538018,-4.101810705065339e-05,0.002647868852305,NEUTRAL,0.4620910054005011,-0.0008992238941436,True,0.0,0.0,0.0,0.0,0.0,100.0,1.000888972952525,0.0,0.0,28.031145717453697,24.308027999835925,7.210714285714338,0.0,1.000888972952525,-0.0155024975538253
NIFTY,2026-07-24T08:48:00,23789.15,1.0000000022935909,-11.549592602720804,23793.331185506428,TRENDING_BEAR,-0.0094314431771636,0.2,1.2175239623833743e-05,0.2689414777129268,0.2689445210219268,1.2175239623833743e-05,0.000379851208991,NEUTRAL,0.4621140012651463,-0.0006095369410914,True,0.0,0.0,0.0,0.0,0.0,100.0,0.9993885013028496,0.0,0.0,23.68421052630812,23.532476424826843,7.567857142857195,0.0,0.9993885013028496,-0.0142269417643547
NIFTY,2026-07-23 23:00:00,96.53,1.0,,,TRANSITION,-0.0111876754090189,0.2,-0.0113877289689159,0.2743820371196667,0.3466301228563095,-0.0113877289689159,0.2445206618946186,NEUTRAL,0.3789878400240236,,,-0.0008333333333333,0.1666666666666666,16.666666666666664,0.0,16.666666666666664,83.33333333333334,1.0,0.0,0.0,,,,,1.0,-0.0155482482165098
NIFTY,2026-07-23 15:00:00,6690.62,1.5,-456.4015996665354,6784.387237344324,TRANSITION,-0.0104771796613931,0.2,-0.0043693163167663,0.2982961789229094,0.3182558047741946,-0.0043693163167663,0.0928162883753119,NEUTRAL,0.383448016302896,,,-0.0008333333333333,0.1666666666666666,16.666666666666664,0.0,16.666666666666664,83.33333333333334,1.0,0.0,0.0,,,,,1.0,-0.0098591733723878
NIFTY,2026-07-24 08:45:00,23789.05,1.0,-16.044738337065038,23795.93482400933,TRENDING_BEAR,-0.0088623715564608,0.2,-0.0008634282187677,0.2689414323505502,0.2689437134167507,-0.0008634282187677,0.0774538628199379,NEUTRAL,0.462114854232699,,,0.0,0.0,0.0,0.0,0.0,100.0,1.0006559072648038,0.0,0.0,76.1080556454176,40.40292454851217,39.78214285714317,0.0,1.0006559072648038,-0.0143755842000246
NIFTY,2026-07-24T08:49:00,23789.05,1.0000000006908163,-0.3015962706685897,23790.66447852224,TRENDING_BEAR,-0.0094314431771636,0.2,5.19390687016188e-05,0.2689416577548028,0.2689420135483431,5.19390687016188e-05,0.0,NEUTRAL,0.4621163286968541,-0.0005401451876637,True,0.0,0.0,0.0,0.0,0.0,100.0,0.9989473639977474,0.0,0.0,27.99145299144193,23.433749972890208,6.917857142857299,0.0,0.9989473639977474,-0.0143659003078937
BANKNIFTY,2026-07-24 08:45:00,56723.15,1.0,-77.52766560760985,56749.81767449499,HIGH_VOLATILITY,-232.5829968228296,0.2,-0.0013267342824162,0.2689414214123046,0.2689414360086258,-0.0013267342824162,0.1120139005394027,NEUTRAL,0.4621171425790695,,,-0.0008333333333333,0.1666666666666666,16.666666666666664,0.0,16.666666666666664,83.33333333333334,1.00187871608719,0.0,0.0,75.61469233087786,45.58066707189118,140.09642857142848,0.0,1.00187871608719,-387.6383280380492
NIFTY,2026-07-24 08:45:00,23780.55,1.0,-25.7507333065768,23791.52219521356,TRENDING_BEAR,-0.0086044492200016,0.2,-0.0002921900915368,0.2689414330764528,0.2689596533046802,-0.0002921900915368,0.0110545470414221,NEUTRAL,0.462098913618867,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9995837511588748,0.0,0.0,74.071158690172,40.11222573933502,40.33214285714322,0.0,0.9995837511588748,-0.0145052131265401
NIFTY,2026-07-24 08:50:00,23778.0,1.0,-12.444344027968802,23784.907630584574,TRENDING_BULL,-0.0089585734531283,0.25,-0.0003937893337154,0.2689418731367455,0.2689887576442489,-0.0003937893337154,0.0624784324180583,NEUTRAL,0.4620693692190056,,,0.0008333333333333,0.1666666666666666,16.666666666666664,16.666666666666664,0.0,83.33333333333334,0.9968554317847156,0.0,0.0,48.17472698907581,22.23986302947952,20.37857142857164,0.0,0.9968554317847156,-0.0156318482011556
NIFTY,2026-07-24 04:00:00,52102.0,1.5,130.90160550033647,52097.42109539813,TRANSITION,-0.0057975822128355,0.2,0.0106386660788763,0.3766365682055692,0.2689528482229971,0.0106386660788763,0.2426689173773734,NEUTRAL,0.3544105835714337,-0.0017962226556233,True,0.0008333333333333,0.1666666666666666,16.666666666666664,16.666666666666664,0.0,83.33333333333334,1.0,0.0,0.0,,,,,1.0,-0.0121414024382829
